sujet,date,statut
Les Tournesols de Van Gogh : pourquoi dominent-ils encore la décoration moderne ?,2025-10-15T15:01:25.917284,succès
L'influence de Klimt sur l'art mural doré et la décoration contemporaine,2025-10-17T10:42:19.403329,succès
Frida Kahlo en décoration : de l'icône féministe au symbole déco bohème,2025-10-21T10:44:06.518923,succès
Picasso et la révolution géométrique dans le design mural contemporain,2025-10-24T10:44:42.032139,succès
Dalí et le surréalisme en déco : quand l'absurde devient tendance,2025-10-28T07:34:55.597621,succès
Basquiat en décoration murale : du street art new-yorkais aux lofts urbains,2025-11-04T07:35:36.419121,succès
Banksy vs les maîtres classiques : deux approches de l'art mural,2025-11-11T07:35:57.950490,succès
Vermeer 400 ans après : la lumière dans l'art et la décoration intérieure,2025-11-18T07:14:17.530643,succès
Hopper et la solitude américaine : l'esthétique du vide dans nos intérieurs,2025-11-25T07:15:29.291165,succès
Munch au-delà du Cri : l'expressionnisme dans la décoration moderne,2025-12-02T07:17:17.067054,succès
Warhol et la démocratisation de l'art : impact sur la déco populaire,2025-12-09T07:18:03.492057,succès
Botticelli en décoration : pourquoi la Renaissance italienne revient dans nos salons,2025-12-16T07:18:49.790713,succès
Rembrandt et les portraits psychologiques : l'art du regard en décoration,2025-12-23T07:19:09.207394,succès
Toulouse-Lautrec : l'affiche parisienne qui a révolutionné l'art mural,2025-12-30T07:17:45.808113,succès
Gauguin et l'exotisme post-impressionniste dans le design d'intérieur,2026-01-06T07:21:27.367115,succès
